,CL,NG,SI,PL,SB,HG,RR,LH,PA,HO,CUA,GC,CT,FC,KC,RS,C,S,W,O,UX
14-33,0.02063485986366265,,,,,,,,,,,,,,,,,,,,
14-34,0.020875241616338802,,,,,,,,,,,,,,,,,,,,
15-16,0.013345274863840831,,,,,,,,,,,,,,,,,,,,
15-17,0.014327045525391296,,,,,,,,,,,,,,,,,,,,
15-18,0.015083917102428271,,,,,,,,,,,,,,,,,,,,
15-19,0.015797177727304674,,,,,,,,,,,,,,,,,,,,
15-20,0.01671326969980959,,,,,,,,,,,,,,,,,,,,
15-21,0.01765589309340291,,,,,,,,,,,,,,,,,,,,
15-22,0.018142878236078307,,,,,,,,,,,,,,,,,,,,
15-23,0.018263283807499017,,,,,,,,,,,,,,,,,,,,
15-24,0.01833868864927534,,,,,,,,,,,,,,,,,,,,
15-25,0.018396009978578466,,,,,,,,,,,,,,,,,,,,
15-26,0.01867398946070282,,,,,,,,,,,,,,,,,,,,
15-27,0.018986618335943353,,,,,,,,,,,,,,,,,,,,
15-28,0.019303074690233034,,,,,,,,,,,,,,,,,,,,
15-29,0.01954067376171389,,,,,,,,,,,,,,,,,,,,
15-30,0.020028302569981567,,,,,,,,,,,,,,,,,,,,
15-31,0.020436670226222,,,,,,,,,,,,,,,,,,,,
15-32,0.020666554935664896,,,,,,,,,,,,,,,,,,,,
15-33,0.020817657666954977,,,,,,,,,,,,,,,,,,,,
15-34,0.020994149512912102,,,,,,,,,,,,,,,,,,,,
16-17,,,,,,,,,,,,,,,,,,,,,
16-18,,,,,,,,,,,,,,,,,,,,,
16-19,,,,,,,,,,,,,,,,,,,,,
16-20,,,,,,,,,,,,,,,,,,,,,
16-21,,,,,,,,,,,,,,,,,,,,,
16-22,,,,,,,,,,,,,,,,,,,,,
16-23,,,,,,,,,,,,,,,,,,,,,
16-24,,,,,,,,,,,,,,,,,,,,,
16-25,,,,,,,,,,,,,,,,,,,,,
16-26,,,,,,,,,,,,,,,,,,,,,
16-27,,,,,,,,,,,,,,,,,,,,,
16-28,,,,,,,,,,,,,,,,,,,,,
16-29,,,,,,,,,,,,,,,,,,,,,
16-30,,,,,,,,,,,,,,,,,,,,,
16-31,,,,,,,,,,,,,,,,,,,,,
16-32,,,,,,,,,,,,,,,,,,,,,
16-33,,,,,,,,,,,,,,,,,,,,,
16-34,,,,,,,,,,,,,,,,,,,,,
17-18,,,,,,,,,,,,,,,,,,,,,
17-19,,,,,,,,,,,,,,,,,,,,,
17-20,,,,,,,,,,,,,,,,,,,,,
17-21,,,,,,,,,,,,,,,,,,,,,
17-22,,,,,,,,,,,,,,,,,,,,,
